product_id,product_name,category,subcategory,supplier_id,cost,list_price,active
PRD001,Runner Pro Shoes,Footwear,Running,SUP001,74.9,119.9,True
PRD002,TrailGrip Shoes,Footwear,Outdoor,SUP001,69.5,109.9,True
PRD003,Flex Training Shirt,Apparel,Training,SUP002,14.2,29.9,True
PRD004,DryFit Running Shirt,Apparel,Running,SUP002,16.4,34.9,True
PRD005,Performance Shorts,Apparel,Training,SUP004,13.8,32.5,True
PRD006,Compression Leggings,Apparel,Training,SUP004,18.9,42.9,True
PRD007,Hydro Bottle 750ml,Accessories,Hydration,SUP003,6.1,17.9,True
PRD008,Gym Backpack 25L,Accessories,Training,SUP003,22.3,49.9,True
PRD009,Training Gloves,Accessories,Training,SUP003,7.5,19.9,True
PRD010,Yoga Mat Basic,Equipment,Yoga,SUP005,11.6,27.9,True
PRD011,Yoga Mat Pro,Equipment,Yoga,SUP005,20.1,49.9,True
PRD012,Resistance Bands Set,Equipment,Training,SUP005,8.9,24.9,True
PRD013,Sports Cap,Accessories,Running,SUP004,5.2,16.9,True
PRD014,Running Socks Pack,Apparel,Running,SUP002,4.8,14.9,True
PRD015,Cycling Jersey,Apparel,Cycling,SUP002,21.4,54.9,True
PRD016,Bike Bottle Holder,Accessories,Cycling,SUP003,3.8,11.9,True
PRD017,Jump Rope Speed,Equipment,Training,SUP005,4.4,15.9,True
PRD018,Foam Roller,Equipment,Recovery,SUP005,9.7,26.9,True
PRD019,Recovery Massage Ball,Equipment,Recovery,SUP005,3.4,10.9,True
PRD020,Lightweight Hoodie,Apparel,Lifestyle,SUP004,24.0,59.9,True
PRD021,Everyday Sneakers,Footwear,Lifestyle,SUP001,44.8,89.9,True
PRD022,Soccer Training Ball,Equipment,Soccer,SUP003,12.5,31.9,True
PRD023,Goalkeeper Gloves,Accessories,Soccer,SUP003,10.8,29.9,True
PRD024,Ankle Support,Accessories,Recovery,SUP004,4.7,13.9,True
PRD025,Legacy Windbreaker,Apparel,Outdoor,SUP004,19.5,44.9,False
